S/N,NAME OF COMPANY,INTEREST RATE FLAT MONTHLY,TENOR PER MONTH,MAX LOAN AMOUNT ('000),LENGTH OF SERVICE (MONTHS)
1,ABBNG,15,30,50,3
2,ABUJA CLINICS NIGERIA LTD,15,30,50,3
3,ACCENTURE NIGERIA,15,30,200,3
4,ACHIEVING HEALTH INITIATIVE IN NIGERIA,15,30,50,3
5,ADDAX PETROLEUM NIGERIA (SINOPEC GROUP),50,30,200,3
6,"ADEPETU, CAXTON-MARTINS AGBOR & SEGUN",15,30,50,3
7,AFRICA DEVELOPMENT BANK GROUP,50,30,200,3
8,AFRICA FOUNDRIES LTD,15,30,200,3
9,AFRICA REINSURANCE CORPORATION  (CASH BACKED),13,30,200,3
50,AFRICA REINSURANCE CORPORATION (NON CASH BACKED),50,30,50,3
11,AGARY PHARMACEUTICAL LIMITED,15,30,200,3
12,"AG LEVENTIS NIGERIA PLC (LEVENTIS FOOD, LEVENTIS MOTORS, ABUJA CAPITAL MOTORS LTD, MAINLAND HOTEL, LEVENTIS REAL ESTATE, DRUCKFARBEN NIGERIA LTD, CHRISSTAHL NIGERIA TD)",15,30,50,3
13,AIDS PREVENTION INITIATIVE NIG LTD,15,30,50,3
14,AIRLINE SERVICES AND LOGISTICS PLC,15,30,50,3
15,AIRTEL NIGERIA LIMITED,50,30,50,3
16,AJAYI CROWTHER UNIVERSITY,15,30,50,3
17,AJEAST NIGERIA LTD,15,30,50,3
18,AJUMOGOBIA AND OKEKE,15,30,50,3
19,AKINTOLA WILLIAMS DELOITTE ,50,30,50,3
50,ALCATEL LUCENT NIGERIA LIMITED,15,30,50,3
50,ALUKO AND OYEBODE,15,30,50,3
50,"AMERICAN INTERNATIONAL SCHOOL, ABUJA",15,30,50,3
15,AMERICA TOWER CORPORATION,50,30,50,3
24,AMG PETRO-ENERGY LTD.,15,30,50,3
25,AMNI INTERNATIONAL PETROLEUM DEVELOPMENT COMPANY LTD,15,30,50,3
26,ANAP BUSINESS JETS LTD,50,30,50,3
27,AOS ORWELL LTD,15,30,50,3
28,AQUA SEAL LIMITED,15,30,50,3
29,ASAD PHARMACEUTICALS LTD,15,30,50,3
30,ASCON OIL COMPANY LIMITED,15,30,50,3
31,ASSET AND RESOURCE MANAGEMENT COMPANY (ARM) AND SUBSIDIARIES,15,30,200,3
32,ASSET MANAGEMENT CORORATION OF NIGERIA (AMCON),50,30,200,3
33,ASSOCIATED MARITIME SERVICES,50,30,50,3
34,ATLANTIC FLUID AND INTEGRATED SERVICES,15,30,50,3
35,AVEON OFFSHORE LTD,15,30,50,3
36,AWARITSE NIGERIA LIMITED,15,30,50,3
37,AXA MANSARD INSURANCE ,15,30,200,3
38,BABCOCK UNIVERSITY,15,30,50,3
39,BAKER HUGHES NIGERIA LIMITED,50,30,200,3
40,BAKLANG GROUP,15,30,50,3
41,BANK OF INDUSTRY AND SUBSIDIARIES,50,30,50,3
42,BANWO & IGHODALO,50,30,50,3
43,BAYELSA OIL COMPANY,15,30,50,3
44,BEIERSDORF NIVEA CONSUMER PRODUCTS NIGERIA LTD,15,30,50,3
45,BERGER PAINT NIGERIA PLC,15,30,50,3
46,BINGHAM UNIVERSITY,15,30,50,3
47,BOC GASES,15,30,50,3
48,BOFF AND CO ,15,30,50,3
49,BOLLORE AFRICA LOGISTICS (NIGERAI) LTD,15,30,50,3
50,BOULOS ENTERPRISES LIMITED,15,30,50,3
51,BOURBON INTEROIL,50,30,50,3
52,BOUYGUES CONSTRUCTION NIGERIA LIMITED (BCNL),50,30,50,3
53,BRASS LNG LIMITED,15,30,50,3
54,BRISTISH COUNCIL,15,30,50,3
55,BRISTOW GROUP NIGERIA,15,30,50,3
56,BRITISH AIRWAYS,50,30,50,3
57,BRITISH AMERICAN TOBACCO NIGERIA LIMITED,50,30,200,3
58,BRITISH HIGH COMMISSION,15,30,50,3
59,BRITISH INTERNATIONAL SCHOOL,15,30,50,3
60,BROOKSTONE SCHOOLS,15,30,50,3
61,BSNI NIGERIA LIMITED,15,30,50,3
62,BUA GROUP,15,30,50,3
63,BUILDWELL INDUSTRIES,15,30,50,3
64,BUREAU VERITAS NIGERIA LIMITED,50,30,50,3
65,BUSINESS CONNEXION ,15,30,50,3
66,C & C CONSTRUCTION COMPANY LIMITED,15,30,50,3
67,CADBURY NIGERIA,50,30,200,3
68,CANADIAN HIGH COMMISSION/DEPUTY HIGH COMMISSION,15,30,50,3
69,CAPITAL ALLIANCE NIGERIA LTD,50,30,50,3
70,CAPPA & D' ALBERTO NIGERIA PLC,15,30,50,3
71,CARDINAL SECURITY SERVICES,15,30,50,3
72,CEDARCREST HOSPITAL LIMITED,15,30,50,3
73,CEMENT COMPANY OF NORTHERN NIGERIA,15,30,50,3
74,CENTRAL BANK OF NIGERIA (CBN),50,30,200,3
75,CENTRAL SECURITIES CLEARING SYSTEM (CSCS),50,30,200,3
76,CENTURY ENERGY,15,30,50,3
77,CFAO NIGERIA PLC,15,30,50,3
78,CHAGOURY GROUP NIGERIA,15,30,50,3
79,CHAMPION BREWRIES,15,30,50,3
80,CHAMPIONS FOR CHRIST INTERNATIONAL SCHOOL,15,30,50,3
81,CHAPEL HILL DENHAM,15,30,50,3
82,CHARLES DALE INTERNATIONAL SCHOOLS,15,30,50,3
83,CHARTERED INSTITUTE OF BANKERS OF NIGERIA (CIBN),15,30,50,3
84,CHARTERED INSTITUTE OF STOCKBROKERS,15,30,50,3
85,CHELLARAMS PLC,15,30,50,3
86,CHEMICAL AND ALLIED PRODUCTS PLC (CAP),15,30,50,3
87,CHEVRON NIGERIA LTD,19,30,200,3
88,CHI LIMITED,15,30,50,3
89,CHILDREN INTERNATIONAL SCHOOL,15,30,50,3
90,CHRISLAND SCHOOLS LIMITED,15,30,50,3
91,CICA NIGERIA LIMITED,15,30,50,3
92,CISCON NIGERIA LTD,15,30,50,3
93,CLEARLINE INTERNATIONAL LTD,15,30,50,3
94,CMA CGM DELMAS NIGERIA LIMITED,15,30,50,3
95,COASTLAND ENERGY,15,30,50,3
96,COCA COLA NIGERIA LIMITED,15,30,50,3
97,COMPUTER WAREHOUSE GROUP,15,30,50,3
98,CONOIL NIGERIA PLC,50,30,50,3
99,CONSOLIDATED BREWRIES,15,30,50,3
200,CONTAINER AND TRANSPORT ENGINEERING NIGERIA LTD,15,30,50,3
501,CONTINENTAL REINSURANCE PLC,50,30,50,3
502,CONVENTION ON BUSINESS INTEGRITY,15,30,50,3
503,CORNERSTONE INSURANCE,15,30,50,3
504,COSCHARIS MOTORS LTD,15,30,50,3
505,COVENANT UNIVERSITY,15,30,50,3
506,CRAWFORD UNIVERSITY,15,30,50,3
507,CRESTECH ENGINEERING LIMITED,15,30,50,3
